time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
83,1004,1000.0,679936,1430.09055963,676,0.01728192269874853,0.20529203116893768,-0.017312804237008095,0.9122051055543124,820,0.79920654296875,1.1810771,0.32574786615368245,0.000521211910130166,0.8966722711920738,0.0008791512675088598,,
84,1018,1000.0,688128,1431.5895991099997,675,0.026005236257697108,0.20367348194122314,-0.05795196816325188,0.9566404266282916,830,0.80467529296875,1.3736644,0.32574786615368245,0.000521211910130166,0.9006569385528564,0.0009180934025152965,,
85,1032,1000.0,696320,1440.9914834299998,674,0.016016073320861322,0.20290838181972504,-0.062077101320028305,0.9709455729927867,840,0.796435546875,1.2252941,0.32574786615368245,0.000521211910130166,0.9158898368477821,0.0010722820341925398,,
86,1046,1000.0,704512,1420.20637055,673,0.0032457450663059715,0.20036928355693817,-0.13759194314479828,1.0455771799664944,850,0.7857666015625,1.1657345,0.32574786615368245,0.000521211910130166,0.9020019322633743,0.001208693124385718,,
87,1060,1000.0,712704,1406.3909735000002,671,-0.09554285681078908,0.19266152381896973,-0.11859627813100815,1.2957513553090394,860,0.77635498046875,6.03275,0.32574786615368245,0.000521211910130166,0.9756895080208778,0.0009363402186636449,,
88,1073,1000.0,720896,1411.35063535,671,-0.055774598949028587,0.18697397410869598,-0.027403736487030983,1.4663720129989088,870,0.77696533203125,2.845268,0.32574786615368245,0.000521211910130166,0.9819863215088844,0.0010151755512652016,,
89,1081,1000.0,729088,1417.7770024599997,673,0.032417501649615585,0.1880369931459427,-0.02432168275117874,1.478299707081169,880,0.8304443359375,1.799234,0.32574786615368245,0.000521211910130166,0.8937192186713219,0.0009249255280565194,,
90,1090,1000.0,737280,1417.7223063200001,676,0.03765625987834938,0.1902802586555481,-0.07965432852506638,1.4068559716455638,890,0.81925048828125,1.3219126,0.32574786615368245,0.000521211910130166,0.9020530208945274,0.000916121331897557,,
91,1099,1000.0,745472,1419.7402677100001,678,0.036205088307906405,0.19008582830429077,-0.026795394718647003,1.4001960154622792,900,0.83114013671875,2.2947516,0.32574786615368245,0.000521211910130166,0.9031206294894218,0.000899678695577677,,
92,1113,1000.0,753664,1419.4254539,676,0.027390994284724003,0.1892326921224594,-0.06329979002475739,1.4204063799232245,910,0.811669921875,1.4281638,0.32574786615368245,0.000521211910130166,0.8959322273731232,0.0011107453473641726,,
